                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5616,                 5.0577,                 3.6764,                 2.3258,                0.00351,                0.04167,                0.01195,                0.00344,                      0,                      0,                      0,                      0,                   2.15,                0.60756,                  7.204,                 1.5074,                      0,                      0,                      0
                      2,                 1.9827,                 4.8493,                 3.4651,                 1.8968,                0.00351,                0.04167,                0.02237,                0.00426,                      0,                      0,                      0,                      0,                 2.1208,                0.60696,                 7.2141,                 1.4903,             1.4149e-05,             1.4149e-05,             1.4149e-05
                      3,                 2.0118,                 4.7701,                 3.6651,                 1.9422,                0.00344,                0.04167,                0.01539,                0.00355,                      0,                      0,                      0,                      0,                 2.0974,                0.60605,                 7.1977,                 1.4814,             2.8014e-05,             2.8014e-05,             2.8014e-05
                      4,                 2.0118,                 4.5968,                 3.6626,                  1.903,                0.00351,                0.04167,                0.00749,                0.00374,                      0,                      0,                      0,                      0,                 2.0718,                0.59746,                  7.161,                 1.4851,             4.1597e-05,             4.1597e-05,             4.1597e-05
                      5,                 2.0077,                 4.2986,                 3.6102,                 1.9044,                0.00654,                0.23611,                0.02256,                0.00482,                      0,                      0,                      0,                      0,                 1.9522,                0.57581,                 7.1539,                 1.4364,             5.4896e-05,             5.4896e-05,             5.4896e-05
                      6,                 1.7829,                 3.8747,                 3.6281,                 1.7491,                0.00327,                0.04167,                0.00976,                0.00442,                      0,                      0,                      0,                      0,                 1.8533,                0.55446,                 7.1225,                  1.373,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      7,                 1.9075,                 3.9885,                 3.5714,                 1.8488,                0.00646,                0.23611,                 0.0216,                0.00596,                      0,                      0,                      0,                      0,                 1.8293,                0.53694,                   7.11,                 1.3552,             8.0647e-05,             8.0647e-05,             8.0647e-05
                      8,                 1.6074,                 3.6602,                  3.433,                  1.637,                0.00987,                0.19444,                0.05829,                 0.0132,                0.00324,                0.04167,                0.00373,                0.00037,                 1.8402,                0.51728,                 7.0494,                 1.3235,             9.3098e-05,             9.3098e-05,             9.3098e-05
                      9,                 1.5156,                 3.2653,                 3.4053,                 1.5137,                0.01007,                0.19444,                0.06815,                0.02453,                 0.0033,                0.04167,                0.00364,                0.00109,                 1.8615,                 0.4942,                 7.0399,                 1.2751,             0.00010527,             0.00010527,             0.00010527
                     10,                 1.4542,                 3.0391,                 3.2924,                 1.4362,                0.01004,                0.19444,                0.07565,                0.02847,                0.00654,                0.08333,                0.05215,                 0.0063,                 1.7312,                0.47784,                 6.8991,                 1.1709,             0.00011715,             0.00011715,             0.00011715
