id,date,dt, co 
61,14/4/2024,14/4/2024, 0.071744 
61,15/4/2024,15/4/2024, 0.065760 
61,16/4/2024,16/4/2024, NA 
61,17/4/2024,17/4/2024, 0.053735 
61,18/4/2024,18/4/2024, 0.057552 
61,19/4/2024,19/4/2024, 0.056285 
61,20/4/2024,20/4/2024, 0.046129 
61,21/4/2024,21/4/2024, 0.043081 
61,22/4/2024,22/4/2024, 0.057318 
61,23/4/2024,23/4/2024, 0.055448 
61,24/4/2024,24/4/2024, 0.050017 
61,25/4/2024,25/4/2024, 0.050771 
61,26/4/2024,26/4/2024, 0.042950 
61,27/4/2024,27/4/2024, 0.057405 
61,28/4/2024,28/4/2024, 0.063207 
61,29/4/2024,29/4/2024, 0.054212 
62,14/4/2024,14/4/2024, 0.071744 
62,15/4/2024,15/4/2024, 0.067304 
62,16/4/2024,16/4/2024, NA 
62,17/4/2024,17/4/2024, 0.053782 
62,18/4/2024,18/4/2024, 0.057278 
62,19/4/2024,19/4/2024, 0.056352 
62,20/4/2024,20/4/2024, 0.046254 
62,21/4/2024,21/4/2024, 0.043183 
62,22/4/2024,22/4/2024, 0.059932 
62,23/4/2024,23/4/2024, 0.056061 
62,24/4/2024,24/4/2024, 0.050850 
62,25/4/2024,25/4/2024, 0.050771 
62,26/4/2024,26/4/2024, NA 
62,27/4/2024,27/4/2024, 0.058262 
62,28/4/2024,28/4/2024, 0.063195 
62,29/4/2024,29/4/2024, 0.054320 
63,14/4/2024,14/4/2024, 0.071744 
63,15/4/2024,15/4/2024, 0.067311 
63,16/4/2024,16/4/2024, NA 
63,17/4/2024,17/4/2024, 0.052577 
63,18/4/2024,18/4/2024, 0.057254 
63,19/4/2024,19/4/2024, 0.058826 
63,20/4/2024,20/4/2024, 0.046258 
63,21/4/2024,21/4/2024, 0.043291 
63,22/4/2024,22/4/2024, 0.060139 
63,23/4/2024,23/4/2024, 0.056040 
63,24/4/2024,24/4/2024, 0.052198 
63,25/4/2024,25/4/2024, 0.050311 
63,26/4/2024,26/4/2024, 0.043099 
63,27/4/2024,27/4/2024, 0.060415 
63,28/4/2024,28/4/2024, 0.063016 
63,29/4/2024,29/4/2024, 0.054773 
64,14/4/2024,14/4/2024, 0.071744 
64,15/4/2024,15/4/2024, 0.067031 
64,16/4/2024,16/4/2024, NA 
64,17/4/2024,17/4/2024, 0.052577 
64,18/4/2024,18/4/2024, 0.057247 
64,19/4/2024,19/4/2024, 0.060045 
64,20/4/2024,20/4/2024, 0.045956 
64,21/4/2024,21/4/2024, 0.043291 
64,22/4/2024,22/4/2024, 0.059076 
64,23/4/2024,23/4/2024, 0.055634 
64,24/4/2024,24/4/2024, NA 
64,25/4/2024,25/4/2024, 0.049891 
64,26/4/2024,26/4/2024, 0.043099 
64,27/4/2024,27/4/2024, 0.060415 
64,28/4/2024,28/4/2024, 0.062978 
64,29/4/2024,29/4/2024, 0.054773 
65,14/4/2024,14/4/2024, NA 
65,15/4/2024,15/4/2024, 0.066802 
65,16/4/2024,16/4/2024, NA 
65,17/4/2024,17/4/2024, 0.052491 
65,18/4/2024,18/4/2024, 0.057238 
65,19/4/2024,19/4/2024, 0.060045 
65,20/4/2024,20/4/2024, 0.045303 
65,21/4/2024,21/4/2024, 0.048549 
65,22/4/2024,22/4/2024, 0.057742 
65,23/4/2024,23/4/2024, 0.054182 
65,24/4/2024,24/4/2024, NA 
65,25/4/2024,25/4/2024, 0.049891 
65,26/4/2024,26/4/2024, 0.043099 
65,27/4/2024,27/4/2024, 0.060184 
65,28/4/2024,28/4/2024, 0.062722 
65,29/4/2024,29/4/2024, 0.054750 
66,14/4/2024,14/4/2024, 0.071744 
66,15/4/2024,15/4/2024, 0.066057 
66,16/4/2024,16/4/2024, NA 
66,17/4/2024,17/4/2024, 0.048242 
66,18/4/2024,18/4/2024, 0.059427 
66,19/4/2024,19/4/2024, 0.056295 
66,20/4/2024,20/4/2024, 0.046103 
66,21/4/2024,21/4/2024, NA 
66,22/4/2024,22/4/2024, 0.056427 
66,23/4/2024,23/4/2024, 0.055166 
66,24/4/2024,24/4/2024, 0.050017 
66,25/4/2024,25/4/2024, 0.050771 
66,26/4/2024,26/4/2024, 0.042950 
66,27/4/2024,27/4/2024, 0.057405 
66,28/4/2024,28/4/2024, 0.063194 
66,29/4/2024,29/4/2024, 0.054195 
67,14/4/2024,14/4/2024, 0.071744 
67,15/4/2024,15/4/2024, 0.067312 
67,16/4/2024,16/4/2024, NA 
67,17/4/2024,17/4/2024, 0.049434 
67,18/4/2024,18/4/2024, 0.057635 
67,19/4/2024,19/4/2024, 0.056292 
67,20/4/2024,20/4/2024, 0.046232 
