id,date,dt, no2 ,
1,15/4/2024,15/4/2024,0.0000739,","
1,16/4/2024,16/4/2024,0.0000739,","
1,17/4/2024,17/4/2024,0.0000635,","
1,18/4/2024,18/4/2024,0.000101,","
1,19/4/2024,19/4/2024,0.000067,","
1,20/4/2024,20/4/2024,0.0000912,","
1,21/4/2024,21/4/2024,0.0000722,","
1,22/4/2024,22/4/2024,0.0000769,","
1,23/4/2024,23/4/2024,0.0000788,","
1,24/4/2024,24/4/2024,0.0000864,","
1,25/4/2024,25/4/2024,0.0000861,","
1,26/4/2024,26/4/2024,0.0000669,","
1,27/4/2024,27/4/2024,0.0000715,","
1,28/4/2024,28/4/2024,0.0000899,","
1,29/4/2024,29/4/2024,0.000101,","
10,15/4/2024,15/4/2024,0.0000705,","
10,16/4/2024,16/4/2024,0.0000815,","
10,17/4/2024,17/4/2024,0.000105,","
10,18/4/2024,18/4/2024,0.000112,","
10,19/4/2024,19/4/2024,0.0000743,","
10,20/4/2024,20/4/2024,0.0000893,","
10,21/4/2024,21/4/2024,0.0000983,","
10,22/4/2024,22/4/2024,0.000102,","
10,23/4/2024,23/4/2024,0.0000691,","
10,24/4/2024,24/4/2024,0.0000866,","
10,25/4/2024,25/4/2024,0.0000922,","
10,26/4/2024,26/4/2024,0.0000785,","
10,27/4/2024,27/4/2024,0.0000856,","
10,28/4/2024,28/4/2024,0.0000858,","
10,29/4/2024,29/4/2024,0.000106,","
11,15/4/2024,15/4/2024,0.0000647,","
11,16/4/2024,16/4/2024,0.0000815,","
11,17/4/2024,17/4/2024,0.000105,","
11,18/4/2024,18/4/2024,0.000118,","
11,19/4/2024,19/4/2024,0.0000702,","
11,20/4/2024,20/4/2024,0.0000894,","
11,21/4/2024,21/4/2024,0.0001,","
11,22/4/2024,22/4/2024,0.000102,","
11,23/4/2024,23/4/2024,0.0000876,","
11,24/4/2024,24/4/2024,0.000101,","
11,25/4/2024,25/4/2024,0.0000979,","
11,26/4/2024,26/4/2024,0.0000792,","
11,27/4/2024,27/4/2024,0.0000834,","
11,28/4/2024,28/4/2024,0.0000911,","
11,29/4/2024,29/4/2024,0.0000942,","
12,15/4/2024,15/4/2024,0.0000631,","
12,16/4/2024,16/4/2024,0.0000825,","
12,17/4/2024,17/4/2024,0.0000951,","
12,18/4/2024,18/4/2024,0.00012,","
